,PRI
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.08967851099830804
Growth 1yr High Est,-0.08789386401326704
Growth 1yr Consensus Est,-0.08878618750578754
Growth 2yr Low Est,0.03136892293950777
Growth 2yr High Est,0.09241670435700283
Growth 2yr Consensus Est,0.0618928136482553
Growth 5yr Low Est,0.11256472865247441
Growth 5yr High Est,0.14650521855527612
Growth 5yr Consensus Est,0.12953497360387528
Growth 5yr Actual/Est,0.1214239407703149
Growth 3yr Historic,0.08688991207151675
