,PMVP
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.78871
Price/Cash Flow (TTM),
5yr Low,8.99
5yr High,63.22
5yr Avg Return,-0.14313333333333333
Short Int Current Month,10457414.0
Short Int Prev Month,11538253.0
Short Int Pct of Float,0.2339049
Days to Cover,15.27455
Float,44.71998
Shares Outstanding,45.66543
Institutions Holding Shares,183.0
% Held by Institutions,1.251668
FCF Growth 5yr,0.2763760052397202
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
