,PMVP
% Above Low,0.11460000000000001
% Held by Institutions,1.2517
52-Wk Range,['8.99 - 25.10']
Annual Dividend $,
Annual Dividend %,
Ask,10.08
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,10.02
Bid Size,100.0
Day Change $,-0.22
Day Change %,-0.0215
Day High,10.28
Day Low,10.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.59
Ex-dividend Date,No dividend
Historical Volatility,0.873
Last (size),100.0
Last (time),11:06a ET 11/28/22
Market Cap,457.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.24
Price,10.02
Shares Outstanding,45.7M
Short Interest,0.2339
Today's Open,10.11
Volume Past Day,(Heavy Day)
