,SWKS
Price/Earnings (TTM),11.91666
Price/Sales (TTM),2.71271
Price/Book (MRQ),2.72155
Price/Cash Flow (TTM),7.57165
5yr Low,60.12
5yr High,204.0
5yr Avg Return,0.04445000000000001
EPS Growth 5yr,0.07613260000000001
Revenue Growth 5yr,0.08480420000000001
Dividend Growth 5yr,0.14671099999999998
Short Int Current Month,4058910.0
Short Int Prev Month,3328882.0
Short Int Pct of Float,0.025449700000000002
Days to Cover,1.74535
Float,159.576
Shares Outstanding,160.1611
Institutions Holding Shares,1156.0
% Held by Institutions,0.7662439999999999
FCF Growth 5yr,0.2548226861718456
