,SWKS
% Above Low,0.1943
% Held by Institutions,0.7662
52-Wk Range,['76.16 - 164.47']
Annual Dividend $,2.48
Annual Dividend %,0.026699999999999998
Ask,90.98
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.2
Bid,90.94
Bid Size,100.0
Day Change $,-1.96
Day Change %,-0.021
Day High,92.56
Day Low,90.55
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",7.8
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.43100000000000005
Last (size),200.0
Last (time),3:45p ET 11/28/22
Market Cap,14.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.92
Prev Close,92.91
Price,90.96
Shares Outstanding,160.2M
Short Interest,0.0254
Today's Open,91.55
Volume Past Day,(Light)
