,SAGE
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.1358024691358024
Growth 1yr High Est,0.23201174743024988
Growth 1yr Consensus Est,0.18390710828302614
Growth 2yr Low Est,0.24561862587224914
Growth 2yr High Est,-0.08482845286413615
Growth 2yr Consensus Est,0.0803950865040565
Growth 5yr Low Est,0.014715409642501592
Growth 5yr High Est,-0.16421392522724879
Growth 5yr Consensus Est,-0.0747492577923736
Growth 5yr Actual/Est,-0.8658244755668045
Growth 3yr Historic,-0.8841686969622071
