,SAGE
% Below High,0.1589
% Held by Institutions,0.8694
52-Wk Range,['27.36 - 45.74']
Annual Dividend $,
Annual Dividend %,
Ask,38.52
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,38.42
Bid Size,200.0
Day Change $,0.68
Day Change %,0.018000000000000002
Day High,38.81
Day Low,37.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.63
Ex-dividend Date,No dividend
Historical Volatility,0.573
Last (size),100.0
Last (time),1:32p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,37.79
Price,38.47
Shares Outstanding,59.5M
Short Interest,0.0708
Today's Open,37.53
Volume Past Day,(Light)
