,SAGE
Price/Earnings (TTM),
Price/Sales (TTM),347.8136
Price/Book (MRQ),1.62903
Price/Cash Flow (TTM),
5yr Low,25.01
5yr High,195.97
5yr Avg Return,-0.05805
Short Int Current Month,3685149.0
Short Int Prev Month,3714533.0
Short Int Pct of Float,0.0708374
Days to Cover,6.93665
Float,52.04517
Shares Outstanding,59.4937
Institutions Holding Shares,285.0
% Held by Institutions,0.869369
FCF Growth 5yr,0.2759811435823897
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
