,DNOW
Price/Earnings (TTM),12.75884
Price/Sales (TTM),0.6798
Price/Book (MRQ),1.71182
Price/Cash Flow (TTM),10.73336
5yr Low,4.03
5yr High,18.56
5yr Avg Return,0.06563333333333332
EPS Growth 5yr,
Revenue Growth 5yr,-0.049808500000000006
Dividend Growth 5yr,
Short Int Current Month,1815218.0
Short Int Prev Month,2109437.0
Short Int Pct of Float,0.0166612
Days to Cover,2.39205
Float,108.9487
Shares Outstanding,110.4398
Institutions Holding Shares,324.0
% Held by Institutions,0.9663339999999999
FCF Growth 5yr,-0.3536735778841042
