,DNOW
% Below High,0.07919999999999999
% Held by Institutions,0.9662999999999999
52-Wk Range,['7.66 - 13.51']
Annual Dividend $,
Annual Dividend %,
Ask,20.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,5.0
Bid Size,100.0
Closing Price,12.44
Day Change $,-0.07
Day Change %,-0.005600000000000001
Day High,12.62
Day Low,12.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.98
Ex-dividend Date,No dividend
Historical Volatility,0.46
Last (size),52.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.76
Prev Close,12.51
Shares Outstanding,110.4M
Short Interest,0.0167
Today's Open,12.49
Volume,128558.0
Volume 10-day Avg,480062.0
Volume Past Day,(Light)
