,ITT
% Below High,0.1946
% Held by Institutions,0.9152
52-Wk Range,['63.77 - 105.01']
Annual Dividend $,1.06
Annual Dividend %,0.0125
Ask,85.1
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,58.18
Bid Size,100.0
Closing Price,84.58
Day Change $,0.44
Day Change %,0.0052
Day High,84.68
Day Low,84.08
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.22
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.34299999999999997
Last (size),971.0
Last (time),5:00p ET 11/25/22
Market Cap,7.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.06
Prev Close,84.14
Shares Outstanding,82.7M
Short Interest,0.011699999999999999
Today's Open,84.26
Volume,71988.0
Volume 10-day Avg,467868.0
Volume Past Day,(Light)
