,ITT
Price/Earnings (TTM),20.05862
Price/Sales (TTM),2.41324
Price/Book (MRQ),3.40047
Price/Cash Flow (TTM),15.08143
5yr Low,35.41
5yr High,105.54
5yr Avg Return,0.10553333333333333
EPS Growth 5yr,0.12457700000000001
Revenue Growth 5yr,0.028256700000000003
Dividend Growth 5yr,0.1107556
Short Int Current Month,965051.0
Short Int Prev Month,956175.0
Short Int Pct of Float,0.011735899999999999
Days to Cover,1.96402
Float,82.25407
Shares Outstanding,82.7
Institutions Holding Shares,473.0
% Held by Institutions,0.915176
FCF Growth 5yr,1.1055009505318931
