,CTAS
% Below High,0.011200000000000002
% Held by Institutions,0.6365999999999999
52-Wk Range,['343.86 - 461.44']
Annual Dividend $,4.6
Annual Dividend %,0.0101
Ask,500.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,456.09
Bid Size,100.0
Closing Price,456.27
Day Change $,0.87
Day Change %,0.0019
Day High,458.92
Day Low,454.9
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",11.95
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.281
Last (size),3.0
Last (time),12:59p ET 11/25/22
Market Cap,46.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",38.19
Prev Close,455.4
Shares Outstanding,101.5M
Short Interest,0.0147
Today's Open,457.73
Volume,113283.0
Volume 10-day Avg,335897.0
Volume Past Day,(Light)
