,CTAS
Next Earnings Announcement,2022-12-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.12964641885766115
Growth 1yr High Est,0.10189982728842839
Growth 1yr Consensus Est,0.11577312307304477
Growth 2yr Low Est,0.10174134747056407
Growth 2yr High Est,0.1159969355877879
Growth 2yr Consensus Est,0.10886914152917598
Growth 5yr Low Est,0.146043932384056
Growth 5yr High Est,0.15421392247970528
Growth 5yr Consensus Est,0.15012892743188064
Growth 5yr Actual/Est,0.1466756388082976
Growth 3yr Historic,0.1000835075331381
