,CTAS
Price/Earnings (TTM),38.18878
Price/Sales (TTM),5.70314
Price/Book (MRQ),14.34417
Price/Cash Flow (TTM),27.94347
5yr Low,147.38
5yr High,461.44
5yr Avg Return,0.22316666666666665
EPS Growth 5yr,0.22835270000000002
Revenue Growth 5yr,0.08090059999999999
Dividend Growth 5yr,0.22036619999999998
Short Int Current Month,1263709.0
Short Int Prev Month,1164915.0
Short Int Pct of Float,0.0146517
Days to Cover,2.74527
Float,86.25423
Shares Outstanding,101.5453
Institutions Holding Shares,1237.0
% Held by Institutions,0.636565
FCF Growth 5yr,0.14945151520165387
