,AES
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.07333333333333347
Growth 1yr High Est,0.0714285714285714
Growth 1yr Consensus Est,0.07238095238095243
Growth 2yr Low Est,0.06461697722567294
Growth 2yr High Est,0.08116883116883122
Growth 2yr Consensus Est,0.07289290419725208
Growth 5yr Low Est,0.06748149802945208
Growth 5yr High Est,0.07274058791250176
Growth 5yr Consensus Est,0.07011104297097692
Growth 5yr Actual/Est,0.06662429627392247
Growth 3yr Historic,0.02859477124183002
