,SGRY
Price/Earnings (TTM),
Price/Sales (TTM),1.31094
Price/Book (MRQ),2.16511
Price/Cash Flow (TTM),14.92703
5yr Low,4.0
5yr High,69.58
5yr Avg Return,0.30560000000000004
EPS Growth 5yr,
Revenue Growth 5yr,0.14202489999999998
Dividend Growth 5yr,
Short Int Current Month,4412046.0
Short Int Prev Month,5032502.0
Short Int Pct of Float,0.0823584
Days to Cover,5.52982
Float,53.57697
Shares Outstanding,113.42
Institutions Holding Shares,199.0
% Held by Institutions,0.907228
FCF Growth 5yr,0.5201541044135952
