,SGRY
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.9326923076923077
Growth 1yr High Est,-1.2777777777777777
Growth 1yr Consensus Est,-1.1052350427350426
Growth 2yr Low Est,0.033653846153846145
Growth 2yr High Est,1.3611111111111112
Growth 2yr Consensus Est,0.6973824786324787
Growth 5yr Low Est,0.016826923076923073
Growth 5yr High Est,0.6805555555555556
Growth 5yr Consensus Est,0.34869123931623935
Growth 5yr Actual/Est,-1.4724606235937
Growth 3yr Historic,-0.13912729026036644
