,NCNO
Price/Earnings (TTM),
Price/Sales (TTM),8.63044
Price/Book (MRQ),2.80253
Price/Cash Flow (TTM),
5yr Low,22.97
5yr High,103.95
5yr Avg Return,-0.24936666666666668
Short Int Current Month,5029882.0
Short Int Prev Month,5370924.0
Short Int Pct of Float,0.0496666
Days to Cover,5.66883
Float,108.9814
Shares Outstanding,110.8507
Institutions Holding Shares,272.0
% Held by Institutions,0.6081759999999999
FCF Growth 5yr,3.439360433866307
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
