,NCNO
% Above Low,0.1485
% Held by Institutions,0.6082
52-Wk Range,['22.97 - 63.00']
Annual Dividend $,
Annual Dividend %,
Ask,27.5
Ask Size,3000.0
B/A Ratio,0.03333333333333333
B/A Size,100x3000
Beta,
Bid,25.0
Bid Size,100.0
Closing Price,26.38
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.74
Ex-dividend Date,No dividend
Historical Volatility,0.7640000000000001
Last (size),38.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,26.38
Shares Outstanding,110.9M
Short Interest,0.049699999999999994
Today's Open,
Volume,201631.0
Volume 10-day Avg,642682.0
Volume Past Day,(Light)
