,AMKR
Price/Earnings (TTM),8.20981
Price/Sales (TTM),0.96784
Price/Book (MRQ),1.91645
Price/Cash Flow (TTM),4.71395
5yr Low,5.4
5yr High,29.5
5yr Avg Return,0.2349333333333333
EPS Growth 5yr,0.28829730000000003
Revenue Growth 5yr,0.0934
Dividend Growth 5yr,
Short Int Current Month,4715802.0
Short Int Prev Month,4850608.0
Short Int Pct of Float,0.057558
Days to Cover,3.48148
Float,101.4277
Shares Outstanding,244.9747
Institutions Holding Shares,365.0
% Held by Institutions,0.388022
FCF Growth 5yr,4.009186257070974
