,BHG
% Above Low,0.2175
% Held by Institutions,0.9426000000000001
52-Wk Range,['0.80 - 4.66']
Annual Dividend $,
Annual Dividend %,
Ask,0.9785
Ask Size,2900.0
B/A Ratio,0.06896551724137931
B/A Size,200x2900
Beta,
Bid,0.93
Bid Size,200.0
Closing Price,0.974
Day Change $,-0.036
Day Change %,-0.0356
Day High,1.02
Day Low,0.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.57
Ex-dividend Date,No dividend
Historical Volatility,1.0150000000000001
Last (size),8900.0
Last (time),5:00p ET 11/25/22
Market Cap,613.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.01
Shares Outstanding,630.1M
Short Interest,0.018000000000000002
Today's Open,0.97
Volume,411445.0
Volume 10-day Avg,1442909.0
Volume Past Day,(Light)
