,BHG
Price/Earnings (TTM),
Price/Sales (TTM),0.10217
Price/Book (MRQ),1.6554
Price/Cash Flow (TTM),
5yr Low,0.8
5yr High,17.93
5yr Avg Return,-0.75885
Short Int Current Month,9744378.0
Short Int Prev Month,10721296.0
Short Int Pct of Float,0.018036399999999998
Days to Cover,6.07794
Float,593.793
Shares Outstanding,630.0777
Institutions Holding Shares,156.0
% Held by Institutions,0.942612
FCF Growth 5yr,2.6135023528281955
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
