,PAG
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.2937812723373838
Growth 1yr High Est,0.2052117263843649
Growth 1yr Consensus Est,0.24949649936087437
Growth 2yr Low Est,-0.006424280958379935
Growth 2yr High Est,0.10125451184083106
Growth 2yr Consensus Est,0.047415115441225564
Growth 5yr Low Est,0.4272353303379307
Growth 5yr High Est,0.5246838596940004
Growth 5yr Consensus Est,0.47595959501596563
Growth 5yr Actual/Est,0.3851875149693734
Growth 3yr Historic,0.37142849114288284
