,PAG
Price/Earnings (TTM),6.86526
Price/Sales (TTM),0.33019
Price/Book (MRQ),2.22979
Price/Cash Flow (TTM),5.86438
5yr Low,19.99
5yr High,131.55
5yr Avg Return,0.20563333333333336
EPS Growth 5yr,0.300546
Revenue Growth 5yr,0.0489989
Dividend Growth 5yr,0.1059506
Short Int Current Month,4972153.0
Short Int Prev Month,4827659.0
Short Int Pct of Float,0.0880865
Days to Cover,10.04459
Float,56.44123
Shares Outstanding,71.30346
Institutions Holding Shares,421.0
% Held by Institutions,0.798018
FCF Growth 5yr,0.3190082264310939
