,NSIT
% Below High,0.0547
% Held by Institutions,1.075
52-Wk Range,['81.11 - 111.02']
Annual Dividend $,
Annual Dividend %,
Ask,118.09
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,75.14
Bid Size,100.0
Closing Price,104.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.22
Ex-dividend Date,No dividend
Historical Volatility,0.245
Last (size),255.0
Last (time),1:00p ET 11/25/22
Market Cap,3.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.54
Prev Close,104.95
Shares Outstanding,34.8M
Short Interest,0.0604
Today's Open,
Volume,92774.0
Volume 10-day Avg,286934.0
Volume Past Day,(Light)
