,NSIT
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.2326241134751772
Growth 1yr High Est,0.23305084745762716
Growth 1yr Consensus Est,0.23283748046640218
Growth 2yr Low Est,0.13357327653045403
Growth 2yr High Est,0.1663536024229716
Growth 2yr Consensus Est,0.1499634394767128
Growth 5yr Low Est,0.13606586588734454
Growth 5yr High Est,0.15309169024402192
Growth 5yr Consensus Est,0.14457877806568323
Growth 5yr Actual/Est,0.14474602550528787
Growth 3yr Historic,0.07226943230660093
