,BOOM
% Above Low,0.29460000000000003
% Held by Institutions,0.9011
52-Wk Range,['13.95 - 47.01']
Annual Dividend $,
Annual Dividend %,
Ask,20.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,18.06
Bid Size,100.0
Closing Price,18.06
Day Change $,0.33
Day Change %,0.018600000000000002
Day High,18.41
Day Low,17.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.18
Ex-dividend Date,No dividend
Historical Volatility,0.7440000000000001
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,352.7M
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,17.73
Shares Outstanding,19.5M
Short Interest,0.021
Today's Open,17.73
Volume,71398.0
Volume 10-day Avg,120812.0
Volume Past Day,(Light)
