,BOOM
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,3.883720930232559
Growth 2yr High Est,3.9565217391304337
Growth 2yr Consensus Est,3.9201213346814963
Growth 5yr Low Est,3.883720930232559
Growth 5yr High Est,3.9565217391304337
Growth 5yr Consensus Est,3.9201213346814963
Growth 5yr Actual/Est,1.5036746031746033
Growth 3yr Historic,0.21895238095238098
