,BOOM
Price/Earnings (TTM),
Price/Sales (TTM),0.64029
Price/Book (MRQ),0.97258
Price/Cash Flow (TTM),6.27232
5yr Low,13.95
5yr High,76.68
5yr Avg Return,0.02736666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.1040434
Dividend Growth 5yr,
Short Int Current Month,391855.0
Short Int Prev Month,542191.0
Short Int Pct of Float,0.021024699999999997
Days to Cover,2.50246
Float,18.64781
Shares Outstanding,19.52964
Institutions Holding Shares,176.0
% Held by Institutions,0.9010670000000001
FCF Growth 5yr,-1.8495283265911187
