,KAR
Price/Earnings (TTM),
Price/Sales (TTM),0.84827
Price/Book (MRQ),0.97127
Price/Cash Flow (TTM),20.34898
5yr Low,9.41
5yr High,64.55
5yr Avg Return,-0.17546666666666666
EPS Growth 5yr,-0.3681651
Revenue Growth 5yr,-0.0649531
Dividend Growth 5yr,
Short Int Current Month,7600250.0
Short Int Prev Month,8879157.0
Short Int Pct of Float,0.0713222
Days to Cover,6.67361
Float,106.9293
Shares Outstanding,108.9078
Institutions Holding Shares,285.0
% Held by Institutions,1.161391
FCF Growth 5yr,0.8873281175912755
