,LPRO
Price/Earnings (TTM),8.90504
Price/Sales (TTM),4.30057
Price/Book (MRQ),3.76624
Price/Cash Flow (TTM),8.82386
5yr Low,6.11
5yr High,44.0
5yr Avg Return,0.27943999999999997
Short Int Current Month,8186286.0
Short Int Prev Month,7433530.0
Short Int Pct of Float,0.0783701
Days to Cover,7.57168
Float,112.1415
Shares Outstanding,126.3003
Institutions Holding Shares,255.0
% Held by Institutions,0.922453
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
