,LPRO
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.47619047619047616
Growth 2yr High Est,-0.014084507042253502
Growth 2yr Consensus Est,-0.24513749161636483
Growth 5yr Low Est,-0.47619047619047616
Growth 5yr High Est,-0.014084507042253502
Growth 5yr Consensus Est,-0.24513749161636483
Growth 5yr Actual/Est,-0.8923576160210135
Growth 3yr Historic,-0.6880733944954128
