,UMPQ
% Below High,0.09970000000000001
% Held by Institutions,0.8853
52-Wk Range,['15.77 - 22.06']
Annual Dividend $,0.84
Annual Dividend %,0.0415
Ask,20.22
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,19.52
Bid Size,100.0
Closing Price,19.86
Day Change $,-0.39
Day Change %,-0.019299999999999998
Day High,20.17
Day Low,19.76
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",1.57
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.334
Last (size),9.0
Last (time),4:00p ET 11/28/22
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.87
Prev Close,20.25
Shares Outstanding,217.1M
Short Interest,0.0263
Today's Open,20.07
Volume,731739.0
Volume 10-day Avg,1183089.0
Volume Past Day,(Light)
