,UMPQ
Price/Earnings (TTM),12.86646
Price/Sales (TTM),3.52953
Price/Book (MRQ),1.81812
Price/Cash Flow (TTM),11.82468
5yr Low,8.88
5yr High,24.89
5yr Avg Return,-0.005716666666666659
EPS Growth 5yr,0.1295626
Revenue Growth 5yr,0.0124872
Dividend Growth 5yr,0.0558929
Short Int Current Month,5645247.0
Short Int Prev Month,5952339.0
Short Int Pct of Float,0.026273900000000003
Days to Cover,4.09301
Float,215.0328
Shares Outstanding,217.0533
Institutions Holding Shares,419.0
% Held by Institutions,0.8853279999999999
FCF Growth 5yr,0.36525148816302977
