,AMBP
% Above Low,0.1637
% Held by Institutions,0.1911
52-Wk Range,['3.91 - 9.92']
Annual Dividend $,0.4
Annual Dividend %,0.08789999999999999
Ask,5.0
Ask Size,500.0
B/A Ratio,1.2
B/A Size,600x500
Beta,
Bid,4.26
Bid Size,600.0
Closing Price,4.55
Day Change $,0.06
Day Change %,0.0134
Day High,4.6
Day Low,4.46
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",0.39
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.489
Last (size),19100.0
Last (time),5:00p ET 11/25/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",11.66
Prev Close,4.49
Shares Outstanding,603.0M
Short Interest,0.0377
Today's Open,4.46
Volume,486466.0
Volume 10-day Avg,1674254.0
Volume Past Day,(Light)
