,AMBP
Price/Earnings (TTM),11.66278
Price/Sales (TTM),0.58405
Price/Book (MRQ),9.52656
Price/Cash Flow (TTM),4.6924
5yr Low,3.91
5yr High,21.74
5yr Avg Return,-0.1986
Short Int Current Month,5604236.0
Short Int Prev Month,3226998.0
Short Int Pct of Float,0.0376617
Days to Cover,3.17349
Float,149.1128
Shares Outstanding,603.308
Institutions Holding Shares,176.0
% Held by Institutions,0.19112400000000002
FCF Growth 5yr,0.29529623029896784
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
