,ARES
% Below High,0.0882
% Held by Institutions,0.7306
52-Wk Range,['53.15 - 86.06']
Annual Dividend $,2.44
Annual Dividend %,0.0311
Ask,90.11
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,60.21
Bid Size,100.0
Closing Price,78.47
Day Change $,-0.53
Day Change %,-0.0067
Day High,79.45
Day Low,77.98
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",0.85
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.467
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,13.9B
"P/E Ratio (TTM, GAAP)",92.76
Prev Close,79.0
Shares Outstanding,176.9M
Short Interest,0.025699999999999997
Today's Open,78.38
Volume,504830.0
Volume 10-day Avg,1291459.0
Volume Past Day,(Light)
