,CTRA
% Below High,0.2446
% Held by Institutions,0.9521999999999999
52-Wk Range,['18.39 - 36.55']
Annual Dividend $,2.49
Annual Dividend %,0.0902
Ask,27.88
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.2
Bid,27.65
Bid Size,200.0
Closing Price,27.61
Day Change $,0.07
Day Change %,0.0025
Day High,27.94
Day Low,27.55
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",4.91
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.47000000000000003
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,21.8B
"P/E Ratio (TTM, GAAP)",5.62
Prev Close,27.54
Shares Outstanding,788.5M
Short Interest,0.046
Today's Open,27.68
Volume,3050890.0
Volume 10-day Avg,10864756.0
Volume Past Day,(Light)
