,CTRA
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,2.4306569343065694
Growth 1yr High Est,2.0115606936416186
Growth 1yr Consensus Est,2.221108813974094
Growth 2yr Low Est,1.0078816586426464
Growth 2yr High Est,1.0777573141912509
Growth 2yr Consensus Est,1.0428194864169487
Growth 5yr Low Est,0.5039408293213232
Growth 5yr High Est,0.5388786570956254
Growth 5yr Consensus Est,0.5214097432084743
Growth 5yr Actual/Est,0.8855793650793649
Growth 3yr Historic,0.6220238095238093
