,CTRA
Price/Earnings (TTM),5.61795
Price/Sales (TTM),2.42012
Price/Book (MRQ),1.71969
Price/Cash Flow (TTM),3.90873
5yr Low,13.06
5yr High,36.55
5yr Avg Return,0.01621666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.2444325
Dividend Growth 5yr,0.5061227
Short Int Current Month,35645491.0
Short Int Prev Month,32060739.0
Short Int Pct of Float,0.0460215
Days to Cover,2.73389
Float,775.0717
Shares Outstanding,788.4673
Institutions Holding Shares,1060.0
% Held by Institutions,0.952247
FCF Growth 5yr,0.4683450671850202
