,KLIC
Price/Earnings (TTM),6.67443
Price/Sales (TTM),1.78571
Price/Book (MRQ),2.25184
Price/Cash Flow (TTM),5.90325
5yr Low,16.91
5yr High,75.29
5yr Avg Return,0.15493333333333334
EPS Growth 5yr,0.3227641
Revenue Growth 5yr,0.1319663
Dividend Growth 5yr,
Short Int Current Month,7119609.0
Short Int Prev Month,6878401.0
Short Int Pct of Float,0.12916729999999998
Days to Cover,11.10378
Float,55.4165
Shares Outstanding,57.01899
Institutions Holding Shares,398.0
% Held by Institutions,1.005787
FCF Growth 5yr,0.5866095597490741
