,SBGI
% Above Low,0.1259
% Held by Institutions,0.7737
52-Wk Range,['16.05 - 31.04']
Annual Dividend $,1.0
Annual Dividend %,0.0536
Ask,18.09
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,18.05
Bid Size,200.0
Day Change $,-0.6
Day Change %,-0.0321
Day High,18.69
Day Low,18.01
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",34.29
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.474
Last (size),100.0
Last (time),1:41p ET 11/28/22
Market Cap,1.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",0.54
Prev Close,18.67
Price,18.07
Shares Outstanding,69.6M
Short Interest,0.0547
Today's Open,18.47
Volume Past Day,(Light)
