,IDXX
% Above Low,0.2974
% Held by Institutions,0.8889
52-Wk Range,['317.06 - 664.70']
Annual Dividend $,
Annual Dividend %,
Ask,412.35
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,410.52
Bid Size,100.0
Closing Price,411.36
Day Change $,-5.17
Day Change %,-0.0124
Day High,413.85
Day Low,407.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.86
Ex-dividend Date,No dividend
Historical Volatility,0.42700000000000005
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,34.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",52.32
Prev Close,416.53
Shares Outstanding,82.8M
Short Interest,0.0297
Today's Open,412.19
Volume,188102.0
Volume 10-day Avg,463297.0
Volume Past Day,(Light)
