,IDXX
Price/Earnings (TTM),52.31811
Price/Sales (TTM),10.20035
Price/Book (MRQ),71.72457
Price/Cash Flow (TTM),43.65355
5yr Low,151.74
5yr High,706.95
5yr Avg Return,0.2444
EPS Growth 5yr,0.2863138
Revenue Growth 5yr,0.1261223
Dividend Growth 5yr,
Short Int Current Month,2451455.0
Short Int Prev Month,2390257.0
Short Int Pct of Float,0.029740600000000002
Days to Cover,3.77879
Float,82.00562
Shares Outstanding,82.81696
Institutions Holding Shares,1308.0
% Held by Institutions,0.8888849999999999
FCF Growth 5yr,0.3310838866875915
