,MAN
% Above Low,0.37920000000000004
% Held by Institutions,0.9965
52-Wk Range,['64.00 - 115.54']
Annual Dividend $,2.72
Annual Dividend %,0.0308
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,0.1
Bid Size,
Closing Price,88.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.11
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.389
Last (size),620.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.89
Prev Close,88.27
Shares Outstanding,50.6M
Short Interest,0.0325
Today's Open,
Volume,107311.0
Volume 10-day Avg,308163.0
Volume Past Day,(Light)
