,MAN
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.150354609929078
Growth 1yr High Est,0.1673469387755102
Growth 1yr Consensus Est,0.1588507743522941
Growth 2yr Low Est,-0.03024809577528831
Growth 2yr High Est,0.12504876076304638
Growth 2yr Consensus Est,0.04740033249387904
Growth 5yr Low Est,-0.0253281295202972
Growth 5yr High Est,0.05817946059542692
Growth 5yr Consensus Est,0.01642566553756486
Growth 5yr Actual/Est,0.12477611172656436
Growth 3yr Historic,0.11503396043437514
