,MAN
Price/Earnings (TTM),10.88981
Price/Sales (TTM),0.21875
Price/Book (MRQ),1.86853
Price/Cash Flow (TTM),8.53938
5yr Low,49.57
5yr High,136.93
5yr Avg Return,-0.01888333333333333
EPS Growth 5yr,0.0195075
Revenue Growth 5yr,0.0106616
Dividend Growth 5yr,0.07938010000000001
Short Int Current Month,1628346.0
Short Int Prev Month,1713515.0
Short Int Pct of Float,0.032499
Days to Cover,5.63629
Float,50.1082
Shares Outstanding,50.55713
Institutions Holding Shares,458.0
% Held by Institutions,0.996462
FCF Growth 5yr,-4.803194462833017
