,TROW
Price/Earnings (TTM),14.35764
Price/Sales (TTM),4.03475
Price/Book (MRQ),3.14355
Price/Cash Flow (TTM),12.30104
5yr Low,82.51
5yr High,224.56
5yr Avg Return,0.07074999999999998
EPS Growth 5yr,0.22524170000000002
Revenue Growth 5yr,0.1235554
Dividend Growth 5yr,0.1486984
Short Int Current Month,19065412.0
Short Int Prev Month,18652087.0
Short Int Pct of Float,0.0871285
Days to Cover,7.19086
Float,219.1104
Shares Outstanding,223.4648
Institutions Holding Shares,1339.0
% Held by Institutions,0.758001
FCF Growth 5yr,0.10061547422082624
