,TROW
% Above Low,0.29510000000000003
% Held by Institutions,0.758
52-Wk Range,['93.53 - 208.30']
Annual Dividend $,4.8
Annual Dividend %,0.0384
Ask,121.44
Ask Size,100.0
B/A Ratio,45.0
B/A Size,4500x100
Beta,1.3
Bid,120.7
Bid Size,4500.0
Closing Price,121.13
Day Change $,-3.92
Day Change %,-0.0313
Day High,124.93
Day Low,120.76
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",8.71
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.419
Last (size),10.0
Last (time),4:00p ET 11/28/22
Market Cap,27.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.36
Prev Close,125.05
Shares Outstanding,223.5M
Short Interest,0.08710000000000001
Today's Open,123.8
Volume,1310918.0
Volume 10-day Avg,1971272.0
Volume Past Day,(Light)
