,DISH
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.07172995780590719
Growth 1yr High Est,0.10943396226415092
Growth 1yr Consensus Est,0.018852002229121867
Growth 2yr Low Est,-0.5517740698120445
Growth 2yr High Est,0.09383262739057885
Growth 2yr Consensus Est,-0.2289707212107328
Growth 5yr Low Est,-0.27588703490602223
Growth 5yr High Est,0.046916313695289424
Growth 5yr Consensus Est,-0.1144853606053664
Growth 5yr Actual/Est,-0.08144891043370409
Growth 3yr Historic,0.10412633723892001
