,DISH
% Above Low,0.2749
% Held by Institutions,0.8131
52-Wk Range,['12.55 - 37.28']
Annual Dividend $,
Annual Dividend %,
Ask,16.01
Ask Size,1400.0
B/A Ratio,6.857142857142857
B/A Size,9600x1400
Beta,1.8
Bid,14.55
Bid Size,9600.0
Closing Price,16.0
Day Change $,0.11
Day Change %,0.0069
Day High,16.1
Day Low,15.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.01
Ex-dividend Date,No dividend
Historical Volatility,0.629
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,8.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.31
Prev Close,15.89
Shares Outstanding,530.7M
Short Interest,0.10980000000000001
Today's Open,15.85
Volume,1020578.0
Volume 10-day Avg,3388519.0
Volume Past Day,(Light)
