,DISH
Price/Earnings (TTM),5.31214
Price/Sales (TTM),0.49707
Price/Book (MRQ),0.49978
Price/Cash Flow (TTM),3.17558
5yr Low,12.55
5yr High,52.32
5yr Avg Return,-0.11156666666666666
EPS Growth 5yr,0.0384633
Revenue Growth 5yr,0.0328563
Dividend Growth 5yr,
Short Int Current Month,27759959.0
Short Int Prev Month,27924222.0
Short Int Pct of Float,0.10981719999999999
Days to Cover,4.88835
Float,251.082
Shares Outstanding,530.7062
Institutions Holding Shares,592.0
% Held by Institutions,0.813135
FCF Growth 5yr,-1.2173431267404367
