,NTLA
Price/Earnings (TTM),
Price/Sales (TTM),76.04807
Price/Book (MRQ),4.61226
Price/Cash Flow (TTM),
5yr Low,9.18
5yr High,202.73
5yr Avg Return,0.4860999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.14935980000000001
Dividend Growth 5yr,
Short Int Current Month,6652989.0
Short Int Prev Month,7008895.0
Short Int Pct of Float,0.0904016
Days to Cover,7.31596
Float,71.29312
Shares Outstanding,78.68404
Institutions Holding Shares,445.0
% Held by Institutions,0.829121
FCF Growth 5yr,0.3091122868900647
