,NTLA
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.7375328083989501
Growth 1yr High Est,0.5166163141993956
Growth 1yr Consensus Est,0.6270745612991728
Growth 2yr Low Est,0.47375129845929376
Growth 2yr High Est,0.21149540809571377
Growth 2yr Consensus Est,0.34262335327750376
Growth 5yr Low Est,0.4083358262207974
Growth 5yr High Est,0.2757984654691767
Growth 5yr Consensus Est,0.3420671458449871
Growth 5yr Actual/Est,0.326270323112506
Growth 3yr Historic,0.1781101895734597
