,NTLA
% Above Low,0.3398
% Held by Institutions,0.8291
52-Wk Range,['37.08 - 130.33']
Annual Dividend $,
Annual Dividend %,
Ask,51.5
Ask Size,400.0
Ask close,60.57
B/A Ratio,0.5
B/A Size,200x400
Beta,1.8
Bid,46.66
Bid Size,200.0
Bid close,38.12
Change Since Close,-0.92| |(-1.85%)
Closing Price,49.68
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.87
Ex-dividend Date,No dividend
Historical Volatility,0.8540000000000001
Last (size),10.0
Last (time),1:00p ET 11/25/22
Last Trade,48.76
Market Cap,3.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,49.68
Shares Outstanding,78.7M
Short Interest,0.0904
Today's Open,
Volume,335.0
Volume 10-day Avg,811972.0
Volume Past Day,(Light)
