,TRS
% Above Low,0.2391
% Held by Institutions,1.0547
52-Wk Range,['21.41 - 37.65']
Annual Dividend $,0.16
Annual Dividend %,0.0059
Ask,26.53
Ask Size,200.0
B/A Ratio,10.0
B/A Size,2000x200
Beta,0.7
Bid,26.45
Bid Size,2000.0
Closing Price,26.53
Day Change $,-0.67
Day Change %,-0.0246
Day High,27.31
Day Low,26.11
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",1.41
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.389
Last (size),1400.0
Last (time),4:00p ET 11/28/22
Market Cap,1.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.3
Prev Close,27.2
Shares Outstanding,42.0M
Short Interest,0.0106
Today's Open,27.1
Volume,74647.0
Volume 10-day Avg,82949.0
Volume Past Day,(Below Average)
