,TRS
Price/Earnings (TTM),19.30392
Price/Sales (TTM),1.28325
Price/Book (MRQ),1.79958
Price/Cash Flow (TTM),10.04346
5yr Low,18.05
5yr High,38.72
5yr Avg Return,0.01718333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.015408999999999999
Dividend Growth 5yr,
Short Int Current Month,438015.0
Short Int Prev Month,526143.0
Short Int Pct of Float,0.0105912
Days to Cover,3.84079
Float,41.36418
Shares Outstanding,41.9647
Institutions Holding Shares,197.0
% Held by Institutions,1.054694
FCF Growth 5yr,-0.5168357742062235
