,WDAY
% Above Low,0.12840000000000001
% Held by Institutions,0.8706
52-Wk Range,['128.72 - 285.58']
Annual Dividend $,
Annual Dividend %,
Ask,145.6
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,141.5
Bid Size,100.0
Closing Price,145.25
Day Change $,-3.73
Day Change %,-0.025
Day High,150.59
Day Low,144.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.78
Ex-dividend Date,No dividend
Historical Volatility,0.473
Last (size),60.0
Last (time),4:00p ET 11/28/22
Market Cap,37.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,148.98
Shares Outstanding,256.0M
Short Interest,0.0223
Today's Open,148.44
Volume,3135471.0
Volume 10-day Avg,1919993.0
Volume Past Day,(Heavy Day)
