,WDAY
Price/Earnings (TTM),
Price/Sales (TTM),6.72186
Price/Book (MRQ),7.4086
Price/Cash Flow (TTM),238.6245
5yr Low,95.35
5yr High,307.81
5yr Avg Return,0.1043333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.2669139
Dividend Growth 5yr,
Short Int Current Month,4441449.0
Short Int Prev Month,5832293.0
Short Int Pct of Float,0.0222952
Days to Cover,1.62961
Float,199.3317
Shares Outstanding,256.0
Institutions Holding Shares,1094.0
% Held by Institutions,0.8706090000000001
FCF Growth 5yr,-0.012632370202542783
