,CHRW
% Above Low,0.1408
% Held by Institutions,0.9648
52-Wk Range,['86.57 - 121.23']
Annual Dividend $,2.44
Annual Dividend %,0.024700000000000003
Ask,99.14
Ask Size,100.0
B/A Ratio,14.0
B/A Size,1400x100
Beta,0.8
Bid,98.36
Bid Size,1400.0
Closing Price,98.76
Day Change $,0.7
Day Change %,0.0070999999999999995
Day High,98.79
Day Low,97.79
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",8.24
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.344
Last (size),3100.0
Last (time),12:59p ET 11/25/22
Market Cap,11.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.98
Prev Close,98.06
Shares Outstanding,117.7M
Short Interest,0.10619999999999999
Today's Open,98.16
Volume,365987.0
Volume 10-day Avg,1275038.0
Volume Past Day,(Light)
