,CHRW
Price/Earnings (TTM),11.97945
Price/Sales (TTM),0.44486
Price/Book (MRQ),7.09951
Price/Cash Flow (TTM),9.97177
5yr Low,56.94
5yr High,121.23
5yr Avg Return,0.040649999999999985
EPS Growth 5yr,0.1193187
Revenue Growth 5yr,0.119392
Dividend Growth 5yr,0.0363413
Short Int Current Month,12382423.0
Short Int Prev Month,12684589.0
Short Int Pct of Float,0.10621140000000001
Days to Cover,5.66759
Float,116.764
Shares Outstanding,117.7095
Institutions Holding Shares,928.0
% Held by Institutions,0.9647880000000001
FCF Growth 5yr,-1.650976800976801
