,WING
% Below High,0.1456
% Held by Institutions,1.1584
52-Wk Range,['67.67 - 178.68']
Annual Dividend $,0.76
Annual Dividend %,0.0049
Ask,153.53
Ask Size,200.0
B/A Ratio,13.0
B/A Size,2600x200
Beta,1.6
Bid,152.23
Bid Size,2600.0
Closing Price,152.67
Day Change $,-2.79
Day Change %,-0.0179
Day High,159.88
Day Low,151.57
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",1.41
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.612
Last (size),60.0
Last (time),4:00p ET 11/28/22
Market Cap,4.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",110.22
Prev Close,155.46
Shares Outstanding,29.9M
Short Interest,0.10460000000000001
Today's Open,154.45
Volume,452812.0
Volume 10-day Avg,387678.0
Volume Past Day,(Above Average)
