,WING
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.20149253731343286
Growth 1yr High Est,0.10389610389610393
Growth 1yr Consensus Est,0.1526943206047684
Growth 2yr Low Est,0.16906925002317608
Growth 2yr High Est,0.17547746371275785
Growth 2yr Consensus Est,0.17227335686796696
Growth 5yr Low Est,0.3131060535830167
Growth 5yr High Est,0.3313284754461225
Growth 5yr Consensus Est,0.3222172645145696
Growth 5yr Actual/Est,0.29779539334333854
Growth 3yr Historic,0.1998155953635406
